STATIONS_ID,MESS_DATUM,QUALITAETS_NIVEAU,BEDECKUNGSGRAD,REL_FEUCHTE,DAMPFDRUCK,LUFTTEMPERATUR,LUFTDRUCK_STATIONSHOEHE,WINDGESCHWINDIGKEIT,LUFTTEMP_AM_ERDB_MINIMUM,LUFTTEMPERATUR_MINIMUM,LUFTTEMPERATUR_MAXIMUM,WINDSPITZE_MAXIMUM,NIEDERSCHLAGSHOEHE_IND,NIEDERSCHLAGSHOEHE,SONNENSCHEINDAUER,SCHNEEHOEHE
433,1948-01-01,5,5.0,89.00,4.9,-1.8,1010.70,-999,-4.7,-5.0,.8,-999,7,2.9,-999,4
433,1948-01-02,5,8.0,95.00,7.9,4.4,999.70,-999,-2.5,-2.7,6.8,-999,8,5.7,-999,8
433,1948-01-03,5,5.3,86.00,9.8,8.5,1001.70,-999,4.6,5.2,10.6,-999,1,3.3,-999,0
433,1948-01-04,5,8.0,83.00,10.2,10.2,999.80,-999,4.7,6.6,11.5,-999,1,4.0,-999,0
433,1948-01-05,5,7.7,78.00,9.8,10.5,987.80,-999,5.9,8.0,12.0,-999,1,.2,-999,0
433,1948-01-06,5,4.7,75.00,6.0,3.3,993.60,-999,2.9,1.8,10.8,-999,1,2.0,-999,0
433,1948-01-07,5,8.0,96.00,6.9,2.9,980.90,-999,-2.0,-.9,5.2,-999,0,.0,-999,0
433,1948-01-08,5,5.3,74.00,7.3,6.2,978.40,-999,4.0,4.7,9.5,-999,1,1.5,-999,0
433,1948-01-09,5,6.0,86.00,5.5,.4,997.50,-999,-2.2,-.2,4.7,-999,8,7.8,-999,0
433,1948-01-10,5,7.3,92.00,6.1,.7,992.50,-999,-3.0,-1.2,3.0,-999,7,2.1,-999,0
433,1948-01-11,5,5.0,79.00,3.8,-3.0,1011.30,-999,-6.1,-4.9,-.1,-999,8,8.4,-999,1
433,1948-01-12,5,7.0,85.00,6.8,3.8,1000.40,-999,-4.0,-2.8,7.0,-999,7,.0,-999,1
433,1948-01-13,5,8.0,92.00,10.3,9.3,988.10,-999,4.1,4.2,11.4,-999,1,8.5,-999,0
433,1948-01-14,5,7.3,80.00,7.5,5.7,991.80,-999,4.8,4.2,11.9,-999,1,33.4,-999,0
433,1948-01-15,5,8.0,87.00,5.7,.5,997.40,-999,1.0,-.9,4.6,-999,1,3.8,-999,0
433,1948-01-16,5,8.0,74.00,4.1,-1.7,1003.30,-999,-3.2,-2.3,.2,-999,8,.4,-999,1
433,1948-01-17,5,7.0,90.00,4.4,-2.8,1005.00,-999,-5.7,-4.7,-1.6,-999,7,.7,-999,1
433,1948-01-18,5,4.7,88.00,5.6,.7,991.60,-999,-5.0,-2.5,2.5,-999,0,.0,-999,2
433,1948-01-19,5,2.7,92.00,5.7,.0,988.90,-999,-3.6,-.7,2.7,-999,7,3.9,-999,0
433,1948-01-20,5,7.3,92.00,5.4,-.7,990.10,-999,-5.1,-5.0,3.4,-999,0,.0,-999,0
433,1948-01-21,5,7.0,78.00,4.6,-.4,998.00,-999,-3.4,-1.7,.7,-999,0,.0,-999,0
433,1948-01-22,5,7.7,78.00,4.4,-1.0,994.80,-999,-5.0,-2.6,1.4,-999,0,.0,-999,0
433,1948-01-23,5,8.0,88.00,5.6,.4,998.00,-999,-4.7,-1.9,2.1,-999,7,.0,-999,2
